run_id,yrs_il_single,yrs_il_double,yrs_sum_al,added_lc_worth_norm,man_independent_yrs,woman_independent_yrs,man_assisted_yrs,woman_assisted_yrs,roi_seed,inflation_seed,apy_roi,apy_cpi,roi_mean_shift,roi_vol_multiplier,roi_mean_reversion,inflation_mean_shift,inflation_vol_multiplier,inflation_mean_reversion,exp_al_cc,exp_norm_al_cc,exp_cc,exp_norm_cc,exp_lc,exp_norm_lc,exp_non_taylor,exp_norm_non_taylor,exp_total_cc,exp_norm_total_cc,earn_cc,earn_norm_cc,earn_lc,earn_norm_lc,worth_lc,worth_norm_lc,worth_cc,worth_norm_cc,ticker,current_date,history_years,al_cum_running_avg_yrs,start_clock,man_dob,woman_dob,constant_monthly_roi,constant_monthly_cpi
1,5.388331103836741,12.922213553461045,9.51927474995124,827421,12.922213553461045,18.310544657297786,2.0228372626045164,7.496437487346723,167623,589218,11.62458997250997,3.291584713658535,0.004346161322293152,0.8027624455185167,0.49725162679227175,0.0016483602220793625,0.6237331652056431,0.4398736586710609,4018279.8988080486,1741374.6272733463,1052349.4046882433,579704.1227385108,3160466.6698211394,1740995.4812638806,2423410.7386282105,1334975.9975278755,7494040.042124502,3247641.158346664,83598740.03236055,36212243.850403406,81860112.0205602,35459126.97921509,92065992,39879981,90155829,39052560,SPY,2026-03-27 00:00:00,25,2,2026-07-01,1957-07-26,1956-04-11,,
2,4.135086042979486,9.90634071036571,11.237461421561889,1797047,9.90634071036571,14.041426753345196,9.386876792191106,1.8505846293707822,334774,638351,10.482923470250395,4.113393970579149,0.003117636774112748,0.913863735353444,0.4250022073840784,0.002815090734374138,1.377791773902283,0.4106415332128382,5519215.036456422,2539302.098416789,803272.127407965,456376.44867613254,2404883.0775360307,1366326.505002468,1848996.4074387823,1050501.2999327823,8171483.571303169,3759568.207204838,28397203.89315384,13026104.728079196,28470703.83016274,13059819.944569789,34912602,16014788,30994998,14217741,SPY,2026-03-27 00:00:00,25,2,2026-07-01,1957-07-26,1956-04-11,,
3,3.3060060569762584,1.7056123116602822,7.665371845268476,938610,1.7056123116602822,5.01161836863654,6.017747501136568,1.6476243441319078,144449,921992,14.464404472904558,1.7233787327911365,0.0089974244832861,0.8202159446573852,0.2923137344867866,-0.004544878708915089,1.0951478557852385,0.1658664491636669,1409483.5008481315,1239254.1697543813,208916.7622243657,193636.27079345903,546890.547221036,506890.13638047274,426528.6748878276,395331.71542767715,2044928.9379603248,1797954.152491909,9635378.951795548,8440297.98393534,9816401.755831143,8598868.437219197,15266013,13372562,14194504,12433952,SPY,2026-03-27 00:00:00,25,2,2026-07-01,1957-07-26,1956-04-11,,
4,2.915244983803791,1.4179879038395378,15.466740432443435,2538424,1.4179879038395378,4.333232887643328,8.023229052068299,7.443511380375137,997180,718025,12.806683322385615,1.0039441140442973,-0.007738078412729854,1.1684005116884286,0.08135464473362712,-0.0034722004175938743,0.7993986939339984,0.35720503999037717,3126901.624522834,2774852.065717498,171627.39744242132,167120.87763313856,441589.41448417876,429994.3459019021,351452.5991809946,342224.30507507006,3649981.62114625,3239039.873156909,15079234.74500986,13398073.701845953,17018477.80938028,15121113.494089171,22929998,20373567,20073058,17835143,SPY,2026-03-27 00:00:00,25,2,2026-07-01,1957-07-26,1956-04-11,,
5,9.081221773571908,5.292652738825326,10.186895231225854,451530,14.373874512397233,5.292652738825326,4.844382682392415,5.342512548833439,900147,649879,15.833623364642202,1.9984975218678924,0.005224067601035106,1.2954973874926918,0.24667663338488965,-0.00494138239958773,0.6660887469327454,0.09461966357886324,1803138.2664824266,1236430.0685425152,656855.4704475559,486488.5474739434,1799123.1534376838,1332489.1837260271,1347990.2722073812,998365.4837925762,3807984.0091373636,2611172.9848712627,84171669.64954433,57508995.68258344,84084012.69841026,57449105.422056265,93389421,63806882,92728551,63355352,SPY,2026-03-27 00:00:00,25,2,2026-07-01,1957-07-26,1956-04-11,,
6,4.041015882846105,2.345532228081775,8.725865537533506,656766,6.3865481109278806,2.345532228081775,5.444437408545017,3.2814281289884892,134597,203414,13.915380748016393,1.1392854520675177,0.0014696715613563421,1.4568593527260436,0.010778125458074007,-0.004958790584646945,0.9069387213069262,0.21542190898219488,1195930.860990853,1046902.3702339929,270891.70987554383,242980.27280879047,715131.8768171123,641447.9741853911,560954.9818447691,503156.7580444343,2027777.552711166,1775090.179110983,19744196.399920035,17250865.146781057,19820581.538751725,17317604.238234226,25648438,22409509,24896747,21752743,SPY,2026-03-27 00:00:00,25,2,2026-07-01,1957-07-26,1956-04-11,,
7,4.765164497365493,9.275238474166933,12.95988848983746,2164326,14.040402971532426,9.275238474166933,3.481775488581675,9.478113001255785,838163,591326,12.339686756391588,2.6332506909281017,-0.0011622425331379166,1.1657004997457376,0.06630825339316108,0.00033451332651434317,1.2673853100298635,0.23973506572694064,4820654.363903056,2955731.6971334545,711335.9421800318,491684.852122638,2000850.2177831815,1383014.2484228432,1623632.8200521534,1122276.5724197854,7155623.126135241,4387392.351758419,41318969.7187268,25325453.222424947,41184727.1909971,25243172.54409192,47377095,29038633,43845955,26874307,SPY,2026-03-27 00:00:00,25,2,2026-07-01,1957-07-26,1956-04-11,,
8,8.981061095520428,9.787256870368836,11.24668465717286,290791,18.768317965889263,9.787256870368836,6.543216584825869,4.703468072346992,830108,722748,13.494909296538005,1.3222784782468633,0.008400909245717453,1.1757572992558747,0.38662598065866016,-0.003689869239846184,0.9269103668215117,0.260783827208872,1933304.7616998607,1382284.5276515437,881928.4494398289,711541.9602896129,2409624.543747097,1944090.7848123019,1928188.8292869942,1555667.3109602502,4743422.040426684,3391477.135161081,127898346.54417062,91693720.75638658,126318694.46524662,90561226.23608346,136464525,97835041,136058916,97544250,SPY,2026-03-27 00:00:00,25,2,2026-07-01,1957-07-26,1956-04-11,,
9,5.335706737237029,14.216654460570151,8.16736015173268,190595,19.55236119780718,14.216654460570151,6.20056425625536,1.9667958954773193,232370,928622,8.794193093099967,2.2038262331490754,-0.00233441034335854,1.3680926906109283,0.37145962424289564,-0.0012254440624803764,0.6474701220055745,0.28139734652832754,2334719.374253729,1332345.1697923152,1057036.507074535,680119.2211373863,3057038.446152922,1966961.9668471522,2466884.9908569236,1587244.988596041,5858640.872185187,3343327.662280097,38757943.07803293,22069502.952825364,37437798.94756072,21317788.01462668,44770809,25493342,44436091,25302747,SPY,2026-03-27 00:00:00,25,2,2026-07-01,1957-07-26,1956-04-11,,
10,7.0690232939319095,0.421842042419688,15.752492723180822,1414104,0.421842042419688,7.490865336351598,6.6322550456054765,9.120237677575346,929662,567638,4.316141493841141,2.179861496039126,-0.006174523571142168,1.400854992762191,0.48321301232077374,-0.003166282584167309,0.8076350574785357,0.07540545920649372,2541306.9661175176,1779274.423631717,307187.1367524332,261125.74694619936,822818.7509927548,699440.6185942617,551034.6347047001,468409.3614780932,3399528.737574651,2380151.085962075,4192200.1431335397,2926533.595835675,4901337.467896645,3421575.3720207755,10153601,7088129,8127926,5674025,SPY,2026-03-27 00:00:00,25,2,2026-07-01,1957-07-26,1956-04-11,,
